iter	Logloss
0	0.677742627
1	0.6620302734
2	0.6449012695
3	0.6274823242
4	0.6131080078
5	0.6018167969
6	0.5876994141
7	0.5732571289
8	0.5610990723
9	0.5463668457
10	0.5338599121
11	0.5226981445
12	0.5112507813
13	0.5006990723
14	0.4897717773
15	0.4795256348
16	0.4679716797
17	0.4570731445
18	0.4459772461
19	0.4361875
20	0.427834375
21	0.41891875
22	0.4102022461
23	0.4019677246
24	0.3931312988
25	0.3860930908
26	0.3788697754
27	0.3733154541
28	0.3660250244
29	0.3600015625
30	0.354248291
31	0.3487947754
32	0.3418685303
33	0.3353706055
34	0.3294091553
35	0.3236066895
36	0.3190230225
37	0.3142626221
38	0.3089782227
39	0.304167627
40	0.2991830078
41	0.2951363525
42	0.2906635986
43	0.2873928711
44	0.2833066406
45	0.2793480469
46	0.275958374
47	0.2723730957
48	0.2690896484
49	0.266312085
50	0.2631359863
51	0.2594996094
52	0.256054541
53	0.2526199219
54	0.2495494141
55	0.2469665039
56	0.243814209
57	0.2414609863
58	0.2391728027
59	0.2367248047
60	0.2341130859
61	0.2316504395
62	0.22881875
63	0.2263033936
64	0.2241381104
65	0.2220913086
66	0.2196422363
67	0.2177674316
68	0.2154500977
69	0.2136165771
70	0.2116555176
71	0.2098243652
72	0.2083375488
73	0.2064709473
74	0.2048844238
75	0.202833667
76	0.201245813
77	0.1998674072
78	0.1984569336
79	0.1966001343
80	0.1947260498
81	0.1929910522
82	0.1917216187
83	0.1903687744
84	0.1890268188
85	0.1878126587
86	0.1864710205
87	0.1853292114
88	0.1838430908
89	0.1823545654
90	0.1812499512
91	0.1802185303
92	0.1792787476
93	0.1783331299
94	0.1772229126
95	0.1762084961
96	0.1754366821
97	0.1745810913
98	0.1732693481
99	0.1721743286
100	0.1712942139
101	0.1700793457
102	0.169119458
103	0.168037854
104	0.1669452637
105	0.1660819092
106	0.1652180298
107	0.1644158569
108	0.1634319336
109	0.1625478516
110	0.1619033691
111	0.1610320557
112	0.1602405518
113	0.1593337158
114	0.1586815674
115	0.1577673584
116	0.1569020752
117	0.1560944336
118	0.1554179687
119	0.1545611694
120	0.1539157471
121	0.1532527344
122	0.1527430176
123	0.1520137451
124	0.1512456909
125	0.1505888916
126	0.1501118042
127	0.1495171875
128	0.1489362793
129	0.1483986816
130	0.1477282959
131	0.1472424561
132	0.1466746094
133	0.1461621704
134	0.1456199951
135	0.1450877808
136	0.1445920654
